ACQUIN;62380;ST OMER
AFFRINGUES;62380;ST OMER
AGNIERES;62690;TERNOIS
ALLOUAGNE;62157;BETHUNE
ALQUINES;62850;ST OMER
AMBRINES;62127;TERNOIS
AMES;62190;LILLERS
AMETTES;62260;LILLERS
ANNEQUIN;62149;NOEUX
ANNEZIN;62232;BETHUNE
ANVIN;62134;TERNOIS
AUBIGNY EN ARTOIS;62690;TERNOIS
AUBROMETZ;62390;TERNOIS
AUCHEL;62260;LILLERS
AUCHY AU BOIS;62190;LILLERS
AUCHY LES HESDIN;62770;TERNOIS
AUDREHEM;62890;ST OMER
AUMERVAL;62550;TERNOIS
AUXI LE CHATEAU;62390;TERNOIS
AVERDOINGT;62127;TERNOIS
AVESNES LE COMTE;62810;TERNOIS
AZINCOURT;62310;TERNOIS
BAILLEUL AUX CORNAILLES;62127;TERNOIS
BAILLEUL LES PERNES;62550;TERNOIS
BAJUS;62150;TERNOIS
BARLIN;62620;BRUAY
BARLY;62810;TERNOIS
BAVINCOURT;62158;TERNOIS
BAYENGHEM LES EPERLECQUES;62910;ST OMER
BAYENGHEM LES SENINGHEM;62380;ST OMER
BEALENCOURT;62770;TERNOIS
BEAUDRICOURT;62810;TERNOIS
BEAUFORT BLAVINCOURT;62810;TERNOIS
BEAUVOIR WAVANS;62390;TERNOIS
BEAUVOIS;62130;TERNOIS
BERGUENEUSE;62134;TERNOIS
BERGUETTE;62330;LILLERS
BERLENCOURT LE CAUROY;62810;TERNOIS
BERLES MONCHEL;62690;TERNOIS
BERMICOURT;62130;TERNOIS
BETHONSART;62690;TERNOIS
BETHUNE;62400;BETHUNE
BEUGIN;62150;BRUAY
BEUVRY;62660;NOEUX
BLANGERMONT;62270;TERNOIS
BLANGERVAL;62270;TERNOIS
BLANGY SUR TERNOISE;62770;TERNOIS
BLEQUIN;62380;ST OMER
BLESSY;62120;LILLERS
BLINGEL;62770;TERNOIS
BOFFLES;62390;TERNOIS
BOISDINGHEM;62500;ST OMER
BONNIERES;62270;TERNOIS
BONNINGUES LES ARDRES;62890;ST OMER
BOUBERS SUR CANCHE;62270;TERNOIS
BOUQUEHAULT;62340;LILLERS
BOURECQ;62190;TERNOIS
BOURNONVILLE;62240;TERNOIS
BOURTHES;62650;ST OMER
BOUVELINGHEM;62380;NOEUX
BOUVIGNY BOYEFFLES;62172;TERNOIS
BRIMEUX;62170;BRUAY
BRUNEMBERT;62240;TERNOIS
BUCQUOY;62116;TERNOIS
BULLY LES MINES;62160;TERNOIS
BUNEVILLE;62130;LILLERS
BUS;62124;LILLERS
CALAIS;62100;LILLERS
CALONNE RICOUART;62470;LILLERS
CALONNE SUR LA LYS;62350;BRUAY
CAMBLAIN CHATELAIN;62470;TERNOIS
CAMBLAIN L'ABBE;62690;TERNOIS
CAMBLIGNEUL;62690;NOEUX
CAMPIGNEULLES LES PETITES;62170;TERNOIS
CANLERS;62310;TERNOIS
CANTELEUX;62270;TERNOIS
CAUCHY A LA TOUR;62260;LILLERS
CAUCOURT;62150;BRUAY
CHELERS;62127;TERNOIS
CHOCQUES;62920;BETHUNE
CLAIRMARAIS;62500;ST OMER
CONCHY SUR CANCHE;62270;TERNOIS
CONTEVILLE EN TERNOIS;62130;TERNOIS
COULLEMONT;62158;TERNOIS
COULOMBY;62380;ST OMER
COUTURELLE;62158;TERNOIS
CROISETTE;62130;TERNOIS
CROIX EN TERNOIS;62130;TERNOIS
CUINCHY LES LA BASSEE;62149;NOEUX
DENIER;62810;TERNOIS
DIEVAL;62460;TERNOIS
DIVION;62460;BRUAY
DROUVIN LE MARAIS;62131;BETHUNE
ECLIMEUX;62770;TERNOIS
ECOIVRES;62270;TERNOIS
ECQUEDECQUES;62190;LILLERS
ELNES;62380;ST OMER
EPERLECQUES;62910;ST OMER
EPS;62134;TERNOIS
EQUIRES;62134;TERNOIS
ERIN;62134;TERNOIS
ERQUIERES;62140;TERNOIS
ESCOEUILLES;62850;ST OMER
ESSARS;62400;BETHUNE
ESTREE;62170;LILLERS
ESTREE BLANCHE;62145;BRUAY
ESTREE CAUCHY;62690;TERNOIS
FERFAY;62260;LILLERS
FESTUBERT;62149;NOEUX
FIEFS;62134;TERNOIS
FILLIEVRES;62770;TERNOIS
FLERS;62270;TERNOIS
FLEURBAIX;62840;NOEUX
FLEURY;62134;TERNOIS
FLORINGHEM;62550;TERNOIS
FONTAINE L'ETALON;62390;TERNOIS
FONTAINE LES BOULANS;62134;TERNOIS
FONTAINE LES HERMANS;62550;TERNOIS
FORTEL EN ARTOIS;62270;TERNOIS
FOUFFLIN RICAMETZ;62130;TERNOIS
FOUQUEREUIL;62232;BETHUNE
FOUQUIERES LES BETHUNE;62232;BETHUNE
FRAMECOURT;62130;TERNOIS
FRESNICOURT LE DOLMEN;62150;BRUAY
FRESNOY;62770;TERNOIS
FREVENT;62270;TERNOIS
FREVILLERS;62127;TERNOIS
FREVIN CAPELLE;62690;TERNOIS
GALAMETZ;62770;TERNOIS
GAUCHIN LE GAL;62150;BRUAY
GAUCHIN VERLOINGT;62130;TERNOIS
GENNES EN IVERGNY;62390;TERNOIS
GIVENCHY LE NOBLE;62810;TERNOIS
GIVENCHY LES LA BASSEE;62149;NOEUX
GONNEHEM;62920;LILLERS
GOSNAY;62199;BRUAY
GOUY EN TERNOIS;62127;TERNOIS
GOUY SERVINS;62530;NOEUX
GRENAY;62160;TERNOIS
GRINCOURT LES PAS;62760;TERNOIS
GUARBECQUE;62330;LILLERS
GUEMY;ST VENANT;ST OMER
GUINECOURT;62130;TERNOIS
HAILLICOURT;62940;BRUAY
HAM EN ARTOIS;62190;LILLERS
HARAVESNES;62390;TERNOIS
HAUT LOQUIN;62850;ST OMER
HAUT MAINIL;62390;TERNOIS
HAUTECLOQUE;62130;TERNOIS
HAUTECOTE;62270;TERNOIS
HAUTEVILLE;62810;TERNOIS
HERICOURT;62130;TERNOIS
HERLIN LE SEC;62130;TERNOIS
HERLINCOURT;62130;TERNOIS
HERMAVILLE;62690;TERNOIS
HERMIN;62150;BRUAY
HERNICOURT;62130;TERNOIS
HERSIN COUPIGNY;62530;NOEUX
HESDIGNEUL LES BETHUNE;62196;BRUAY
HESTRUS;62550;TERNOIS
HEUCHIN;62134;TERNOIS
HINGES;62232;BETHUNE
HOUCHIN;62620;BETHUNE
HOUDAIN;62150;BRUAY
HOULLE;62910;ST OMER
HOUVIN HOUVIGNEUL;62270;TERNOIS
HUCLIER;62130;TERNOIS
HUMEROEUILLE;62130;TERNOIS
HUMIERES;62130;TERNOIS
INCOURT;62770;TERNOIS
ISBERGUES;62330;LILLERS
IVERGNY;62810;TERNOIS
IZEL LES HAMEAUX;62690;TERNOIS
JOURNY;62850;ST OMER
LA CAUCHIE;62158;TERNOIS
LA COMTE;62150;BETHUNE
LA MADELAINE SOUS MONTREUIL;62170;TERNOIS
LA THIEULOYE;62130;BETHUNE
LABEUVRIERE;62122;NOEUX
LAGNICOURT MARCEL;62159;LILLERS
LANDRETHUN LE NORD;62250;BETHUNE
LANDRETHUN LES ARDRES;62610;TERNOIS
LAPUGNOY;62122;NOEUX
LATTRES ST QUENTIN;62810;TERNOIS
LAVENTIE;62840;TERNOIS
LE PONCHEL;62390;TERNOIS
LE QUESNOY EN ARTOIS;62140;TERNOIS
LEBUCQUIERE;62124;ST OMER
LEFAUX;62630;ST OMER
LEPINE;62170;LILLERS
LESPINOY;62990;BETHUNE
LEUBRINGHEM;62250;ST OMER
LICQUES;62850;TERNOIS
LIENCOURT;62810;LILLERS
LIERES;62190;LILLERS
LIEVIN;62800;TERNOIS
LIGNEREUIL;62810;LILLERS
LIGNY LES AIRE;62960;TERNOIS
LIGNY ST FLOCHEL;62127;TERNOIS
LIGNY THILLOY;62450;LILLERS
LILLERS;62190;LILLERS
LINGHEM;62120;TERNOIS
LINZEUX;62270;TERNOIS
LISBOURG;62134;BETHUNE
LONGFOSSE;62240;ST OMER
LOOS EN GOHELLE;62750;NOEUX
LOUCHES;62610;LILLERS
LUGY;62310;ST OMER
MAGNICOURT EN COMTE;62127;TERNOIS
MAINTENAY;62870;TERNOIS
MAISNIL;62130;BRUAY
MAISNIL LES RUITZ;62620;TERNOIS
MAISONCELLE;62310;TERNOIS
MAMETZ;62120;TERNOIS
MARESQUELLE ECQUEMICOURT;62990;TERNOIS
MARESVILLE;62630;BETHUNE
MAROEUIL;62161;TERNOIS
MAZINGARBE;62670;LILLERS
MENNEVILLE;62240;ST OMER
MEURCHIN;62410;TERNOIS
MINGOVAL;62690;LILLERS
MONCHEAUX LES FREVENT;62270;TERNOIS
MONCHEL SUR CANCHE;62270;TERNOIS
MONCHY BRETON;62127;TERNOIS
MONCHY CAYEUX;62134;TERNOIS
MONT BERNANCHON;62350;LILLERS
MONTREUIL SUR MER;62170;TERNOIS
MORCHIES;62124;ST OMER
MORY;62159;ST OMER
MOYENNEVILLE;62121;ST OMER
NABRINGHEN;62142;TERNOIS
NEDON;62550;TERNOIS
NEUFCHATEL HARDELOT;62152;TERNOIS
NEULETTE;62770;NOEUX
NEUVE CHAPELLE;62840;TERNOIS
NIELLES LES ARDRES;62610;ST OMER
NIELLES LES CALAIS;62185;TERNOIS
NOEUX LES AUXI;62390;NOEUX
NOEUX LES MINES;62290;ST OMER
NOREUIL;62128;LILLERS
NORRENT FONTES;62120;ST OMER
NOUVELLE EGLISE;62370;TERNOIS
NOYELLE VION;62810;TERNOIS
NOYELLES LES HUMIERES;62770;TERNOIS
NOYELLES LES VERMELLES;62980;NOEUX
NOYELLETTE;62123;TERNOIS
OBLINGHEM;62920;TERNOIS
ORVILLE;62760;TERNOIS
OSTREVILLE;62130;BRUAY
PAS EN ARTOIS;62760;TERNOIS
PELVES;62118;TERNOIS
PERNES LES BOULOGNE;62126;TERNOIS
POMMIER;62111;TERNOIS
PONT A VENDIN;62880;TERNOIS
QUEANT;62860;ST OMER
QUELMES;62500;LILLERS
QUIESTEDE;62120;TERNOIS
RACQUIGHEM;62120;TERNOIS
RADINGHEM;62310;BRUAY
RAYE SUR AUTHIE;62140;ST OMER
REBECQUES;62120;BRUAY
REBERGUES;62850;TERNOIS
REBREUVE RANCHICOURT;62150;BRUAY
REBREUVE SUR CANCHE;62270;TERNOIS
RECOURT;62860;ST OMER
RECQUES SUR HEM;62890;LILLERS
RENTY;62560;NOEUX
RINXENT;62720;LILLERS
ROCQUIGNY;62450;TERNOIS
ROELLECOURT;62130;TERNOIS
ROEUX;62118;LILLERS
ROMBLY;62120;TERNOIS
ROYON;62990;BRUAY
RUMAUCOURT;62860;ST OMER
RUYAULCOURT;62124;TERNOIS
SAILLY AU BOIS;62111;NOEUX
SAILLY EN OSTREVENT;62490;NOEUX
SAILLY LABOURSE;62113;NOEUX
SAINS LES FRESSIN;62310;TERNOIS
SAINT DENOEUX;62990;LILLERS
SAINT FLORIS;62350;TERNOIS
SAINT FOLQUIN;62370;LILLERS
SAINT LEGER;62128;ST OMER
SAINT MARTIN SUR COJEUL;62128;TERNOIS
SAINT MICHEL SUR TERNOISE;62130;ST OMER
SAINT OMER;62500;TERNOIS
SAINT REMY AU BOIS;62870;LILLERS
SAINTE MARIE KERQUE;62370;ST OMER
SANGHEM;62850;TERNOIS
SAUDEMONT;62860;TERNOIS
SAULCHOY;62870;TERNOIS
SELLES;62240;ST OMER
SENLECQUES;62240;TERNOIS
SENLIS;62310;ST OMER
SERICOURT;62270;NOEUX
SERVINS;62530;TERNOIS
SIBIVILLE;62270;TERNOIS
SIMENCOURT;62123;TERNOIS
SOUASTRE;62111;ST OMER
SOUCHEZ;62153;TERNOIS
SUS ST LEGER;62810;TERNOIS
TANGRY;62550;ST OMER
TARDINGHEM;62179;TERNOIS
TATINGHEM;62500;TERNOIS
THIEVRES;62760;TERNOIS
TILLOY LES HERMAVILLE;62690;TERNOIS
TILLOY LES MOFFLAINES;62217;ST OMER
TILLY CAPELLE;62134;TERNOIS
TINCQUES;62127;TERNOIS
TORTEFONTAINE;62140;ST OMER
TORTEQUESNE;62490;TERNOIS
TREPIED;62780;TERNOIS
TUBERSENT;62630;TERNOIS
VACQUERIE LE BOUCQ;62270;TERNOIS
VACQUERIETTE ERQUIERES;62140;BETHUNE
VAUDRICOURT;62131;TERNOIS
VELU;62124;BETHUNE
VERLINCTHUN;62830;NOEUX
VERMELLES;62980;NOEUX
VERQUIN;62131;TERNOIS
VIEIL HESDIN;62770;BETHUNE
VILLERS AU BOIS;62144;TERNOIS
VILLERS AU FLOS;62450;TERNOIS
VILLERS BRULIN;62690;TERNOIS
VILLERS L'HOPITAL;62390;TERNOIS
VIMY;62580;NOEUX
WABEN;62180;TERNOIS
WAILLY LES ARRAS;62217;TERNOIS
WARLINCOURT LES PAS;62760;TERNOIS
WARLUS;62123;TERNOIS
WAVANS SUR L'AUTHIE;62390;TERNOIS
WAVRANS SUR L'AA;62380;ST OMER
WAVRANS SUR TERNOISE;62130;LILLERS
WIERRE AU BOIS;62830;TERNOIS
WIERRE EFFROY;62720;TERNOIS
WISQUES;62219;LILLERS
ZOTEUX;62650;ST OMER
